,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix
341144,108105.0,2020-02-03,SPX 200221C2120000,1,2020-02-21,,C,2120000.0,1121.5,1129.4,0.0,0.0,,,,,,131045930.0,1.0,1.0,100.0,0,,,,
341626,108105.0,2020-02-03,SPX 200221C2125000,1,2020-02-21,,C,2125000.0,1116.5,1124.4,0.0,0.0,,,,,,130212743.0,1.0,1.0,100.0,0,,,,
342002,108105.0,2020-02-03,SPX 200221C1000000,1,2020-02-21,2020-01-27,C,1000000.0,2240.3,2248.2,0.0,1508.0,,,,,,132060986.0,1.0,1.0,100.0,0,,,,
342003,108105.0,2020-02-03,SPX 200221C1100000,1,2020-02-21,,C,1100000.0,2140.4,2148.3,0.0,0.0,,,,,,132060987.0,1.0,1.0,100.0,0,,,,
342004,108105.0,2020-02-03,SPX 200221C1200000,1,2020-02-21,2019-12-27,C,1200000.0,2040.5,2048.4,0.0,954.0,,,,,,130212712.0,1.0,1.0,100.0,0,,,,
342005,108105.0,2020-02-03,SPX 200221C1300000,1,2020-02-21,,C,1300000.0,1940.6,1948.5,0.0,0.0,,,,,,130212713.0,1.0,1.0,100.0,0,,,,
342006,108105.0,2020-02-03,SPX 200221C1400000,1,2020-02-21,,C,1400000.0,1840.7,1848.6,0.0,0.0,,,,,,130212714.0,1.0,1.0,100.0,0,,,,
342007,108105.0,2020-02-03,SPX 200221C1425000,1,2020-02-21,,C,1425000.0,1815.7,1823.6,0.0,0.0,,,,,,130212715.0,1.0,1.0,100.0,0,,,,
342008,108105.0,2020-02-03,SPX 200221C1450000,1,2020-02-21,2019-12-20,C,1450000.0,1790.7,1798.6,0.0,1.0,,,,,,130212716.0,1.0,1.0,100.0,0,,,,
342009,108105.0,2020-02-03,SPX 200221C1475000,1,2020-02-21,,C,1475000.0,1765.8,1773.6,0.0,0.0,,,,,,130212717.0,1.0,1.0,100.0,0,,,,
342010,108105.0,2020-02-03,SPX 200221C1500000,1,2020-02-21,2019-12-20,C,1500000.0,1740.8,1748.7,0.0,2.0,,,,,,130212718.0,1.0,1.0,100.0,0,,,,
