,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix
67438,108105.0,1996-12-03,0AE95.8A,0,1997-03-22,1996-12-03,C,600000.0,151.5,152.5,40.0,601.0,,,,,,11441546.0,1.0,1.0,100.0,0,,,0AE95,8A
71531,108105.0,1996-12-03,0989B.35,0,1996-12-21,1996-11-27,C,620000.0,124.375,125.375,0.0,15.0,,,,,,10001205.0,1.0,1.0,100.0,0,,,0989B,35
71532,108105.0,1996-12-03,09968.5C,0,1997-12-20,1996-11-29,P,550000.0,5.625,6.625,0.0,3497.0,0.244946,-0.067066,0.000691,98.59804,-9.718547,10053724.0,1.0,1.0,100.0,0,,,09968,5C
71533,108105.0,1996-12-03,098F0.17,0,1997-12-20,1996-12-03,P,750000.0,41.375,43.375,1118.0,2131.0,0.179218,-0.389668,0.002751,287.3936,-13.43345,10022935.0,1.0,1.0,100.0,0,,,098F0,17
71534,108105.0,1996-12-03,098F0.99,0,1997-03-22,1996-12-03,P,650000.0,5.625,6.125,22.0,27930.0,0.244443,-0.114745,0.001953,78.34959,-29.73282,10023065.0,1.0,1.0,100.0,0,,,098F0,99
71535,108105.0,1996-12-03,098C7.53,0,1997-02-22,1996-12-03,P,700000.0,9.625,10.125,505.0,1182.0,0.216791,-0.217408,0.003888,102.1421,-45.66102,10012499.0,1.0,1.0,100.0,0,,,098C7,53
71536,108105.0,1996-12-03,098F1.39,0,1997-06-21,1996-11-07,C,685000.0,87.375,88.375,0.0,419.0,0.200081,0.77309,0.002624,159.4557,-42.03725,10023225.0,1.0,1.0,100.0,0,,,098F1,39
71537,108105.0,1996-12-03,098C7.CD,0,1996-12-21,1996-11-20,C,645000.0,99.625,100.625,0.0,1097.0,,,,,,10012621.0,1.0,1.0,100.0,0,,,098C7,CD
71538,108105.0,1996-12-03,09A49.EB,0,1997-01-18,1996-12-03,P,745000.0,16.75,17.5,160.0,1723.0,0.194213,-0.437652,0.00779,102.1235,-71.29024,10111467.0,1.0,1.0,100.0,0,,,09A49,EB
71539,108105.0,1996-12-03,099F1.A3,0,1997-06-21,1996-12-03,C,775000.0,28.875,29.875,1.0,5858.0,0.164115,0.456245,0.004332,215.9499,-41.36091,10088867.0,1.0,1.0,100.0,0,,,099F1,A3
71540,108105.0,1996-12-03,09943.F9,0,1997-02-22,1996-12-02,P,690000.0,8.0,8.5,0.0,232.0,0.22361,-0.184469,0.003416,92.56855,-43.16409,10044409.0,1.0,1.0,100.0,0,,,09943,F9
71541,108105.0,1996-12-03,099D6.78,0,1997-06-21,1996-12-03,P,700000.0,18.75,19.5,106.0,10093.0,0.202847,-0.260523,0.002885,177.7733,-26.29252,10081912.0,1.0,1.0,100.0,0,,,099D6,78
71542,108105.0,1996-12-03,099B2.13,0,1997-02-22,1996-12-03,P,680000.0,6.625,7.125,4.0,361.0,0.230327,-0.155896,0.002978,83.1158,-40.29715,10072595.0,1.0,1.0,100.0,0,,,099B2,13
71543,108105.0,1996-12-03,09AD6.AD,0,1997-09-20,1996-11-26,C,800000.0,27.75,29.75,0.0,111.0,0.161328,0.402473,0.003549,253.8518,-33.41936,10147501.0,1.0,1.0,100.0,0,,,09AD6,AD
71544,108105.0,1996-12-03,09B8B.AB,0,1996-12-21,,C,605000.0,139.25,140.25,0.0,0.0,,,,,,10193835.0,1.0,1.0,100.0,0,,,09B8B,AB
71545,108105.0,1996-12-03,09B94.13,0,1996-12-21,1996-11-29,P,400000.0,0.0,0.0625,0.0,9977.0,0.971855,-0.000719,1.6e-05,0.389665,-4.301281,10195987.0,1.0,1.0,100.0,0,,,09B94,13
71546,108105.0,1996-12-03,098B6.4F,0,1997-06-21,1996-11-29,P,550000.0,2.4375,2.8125,0.0,8383.0,0.268675,-0.040595,0.000587,47.94259,-10.80998,10008143.0,1.0,1.0,100.0,0,,,098B6,4F
